Country,Diff20142015,Diff20152016,GDPgrowthPCT2014,GDPgrowthPCT2015
Estonia,19.9329,-100,2,1.4
Laos,19.3832,-18.7818,7.5,7.4
Pakistan,19.3735,-20.862,4.7,4.7
Malaysia,19.2662,-92.2878,6,5.0
Senegal,16.8175,-47.7268,4.3,6.5
Malta,13.73,-100,3.5,6.2
Cuba,12.9542,-82.9921,1,4.4
Paraguay,12.5127,-30.2746,4.7,3.0
Gambia,12.0856,-77.2115,0.9,4.7
Haiti,12.0805,-22.1332,2.8,1.2
Rwanda,10.3191,-32.358,7,6.9
Nicaragua,9.9166,-24.3816,4.6,4.9
Indonesia,9.3892,-29.9332,5,4.8
Samoa,8.159,-30.105,1.2,1.6
Armenia,5.5305,-38.7564,3.6,3.0
Jamaica,4.7603,-28.7057,0.7,1.0
Cambodia,4.3488,-18.6646,7.1,7.0
El Salvador,4.3236,1.4889,1.4,2.5
Thailand,3.6311,-94.509,0.8,2.8
Tonga,1.8698,-55.5342,2.1,3.7
Slovenia,1.3556,-100,3.1,2.3
Ethiopia,1.2197,7.1337,10.3,9.6
Afghanistan,0.9887,-43.2156,1.3,0.8
Kazakhstan,0.2005,-75.8759,4.2,1.2
Algeria,0.13985,-73.5647,3.8,3.8
Palau,-0.4308,-98.9323,4.3,9.4
Kyrgyzstan,-0.6825,-37.7174,4,3.5
Guatemala,-2.6783,-1.3812,4.2,4.1
Iraq,-3.0405,-57.3,0.1,3.0
Macedonia,-3.2165,-23.0887,3.5,3.7
Bangladesh,-4.1584,-11.1948,6.1,6.6
China (PR Hong Kong),-4.2678,-100,2.7,2.4
Phillipines,-4.4027,-36.9722,6.2,5.9
Egypt,-4.5793,57.9879,2.2,4.2
Togo,-5.0617,-75.9415,5.9,5.4
India,-5.6178,-19.228,7.2,7.9
Oman,-5.7181,-100,2.5,5.7
Turkmenistan,-7.2343,-68.0953,10.3,6.5
Honduras,-7.5756,43.9502,3.1,3.6
Angola,-8.3633,-14.7253,4.8,3.0
Malawi,-8.9052,32.1492,5.7,2.8
Fiji,-9.5836,13.1674,5.4,5.6
Dominican Republic,-9.9439,-17.226,7.6,7.0
Ecuador,-10.1126,-83.8373,4,0.2
Kenya,-11.2412,-38.0815,5.3,5.6
Bosnia & Herzegovina,-11.3449,-38.5825,1.1,3.0
United Arab Emirates,-11.2615,-100,3.1,3.8
Albania,-13.7145,-36.4627,1.8,2.8
Tunisia,-14.8325,-7.6973,2.9,1.0
Zambia,-15.0367,-35.5984,4.7,2.9
Mali,-15.2136,0.9291,6,5.0
Vietnam,-15.4041,-26.0389,6,6.7
Costa Rica,-15.5789,-52.2535,3,3.7
Chad,-16.0841,-52.7552,6.9,1.8
Uganda,-16.1079,-15.381,5.2,5.1
Poland,-16.7705,-99.9514,3.3,3.9
Tajikistan,-17.0623,-33.0573,6.7,6.0
Sudan (former),-17.6615,-15.341,2.7,4.9
Azerbaijan,-18.1056,-50.3789,2,1.1
Singapore,-18.4364,-100,3.3,2.0
Djibouti,-18.8273,-64.2807,6,6.5
Belize,-19.7589,-84.2705,4.1,1.0
